,title,price,link
10,"Ienovo ThinkPad T480 InteI Core i5 8th Gen 14-inch Full HD (512GB SSD/16GB RAM/Win 10) Thin and Light,Laptop (Refab) Black","₹25,995",/Ienovo-ThinkPad-InteI-14-inch-Laptop/dp/B0FMJYYQQ5/ref=sr_1_23?crid=35FEBR8R2BS66&dib=eyJ2IjoiMSJ9.LhAv1ca6zmP5LGFtl_xILuiVQIySMSGct_JOlFt9k9_UFjcQQ0i_fmNazxHl2InrSkQRLx-bnwFfAnM5fpGEyHEri5J3g2VTZxxJFkRtCpHerMcBeJ_gm6z-mHX2GvhNX-i5r9eikoWOpTNuPyuODcAGDdgg1NXXULUsvDA4fDHRPVxs0tcKJfX0gr6HVn8AVG_eQodgmRBmwj27oM1M2neEadpjtsXDsyEcbGU-PFo.5PqTv7jmAWrcefu0qc1i7MxoKKpcoJlwR7F6skUsqPI&dib_tag=se&keywords=laptop&qid=1756881998&sprefix=lapt%2Caps%2C333&sr=8-23&xpid=RbFd-a7yjl6Ny
11,"Acer Aspire Lite, AMD Ryzen 7 7730U Processor, 16 GB RAM, 512 GB SSD, Full HD IPS, 15.6""/39.62 cm, Windows 11 Home, MSO, Steel Gray, 1.59 kg, AL15-41, Thin and Light Laptop","₹41,990",/Aspire-Processor-Windows-AL15-41-Laptop/dp/B0FCXZ85YX/ref=sr_1_83?crid=35FEBR8R2BS66&dib=eyJ2IjoiMSJ9.ifqR7Pb_juTd-DikRJuOpsmK2VX06bxGxKO-20fMoa_FAat39pCVa1JeUhEKAgnrlNmmvdWLTHaKCynPaZsipVhPAtUZZrhRGR3Mmey2xvbNWznV6UpH_8QPnGBDpehxGRvKu-48dalFoDt224dNY5jSXaQvB9kpE8ZEqF7wDxNLzS-635mqGIbpHBj8P41-O_P1iYRL5tj0gRv8YrWH0jiixG2KtRUnsv4-b3Dty5w.JlwNgsaSeD8a5yKX8jfvRasJwbHn-EgPFUinWdHeNS8&dib_tag=se&keywords=laptop&qid=1756882004&sprefix=lapt%2Caps%2C333&sr=8-83&xpid=RbFd-a7yjl6Ny
12,"ASUS ROG Strix Scar 16 (2024), Intel Core i9 14900HX 14th Gen, 16""(40.64cm) 2.5K QHD+240Hz, Gaming Laptop (32GB DDR5/2TB SSD/12GB RTX 4080/Win11/Per-Key RGB/90WHr/Black/2.65Kg),G634JZR-CM932WS","₹2,86,805",/ASUS-14900HX-40-64cm-Gaming-G634JZR-CM932WS/dp/B0CV17QD1G/ref=sr_1_82?crid=35FEBR8R2BS66&dib=eyJ2IjoiMSJ9.ifqR7Pb_juTd-DikRJuOpsmK2VX06bxGxKO-20fMoa_FAat39pCVa1JeUhEKAgnrlNmmvdWLTHaKCynPaZsipVhPAtUZZrhRGR3Mmey2xvbNWznV6UpH_8QPnGBDpehxGRvKu-48dalFoDt224dNY5jSXaQvB9kpE8ZEqF7wDxNLzS-635mqGIbpHBj8P41-O_P1iYRL5tj0gRv8YrWH0jiixG2KtRUnsv4-b3Dty5w.JlwNgsaSeD8a5yKX8jfvRasJwbHn-EgPFUinWdHeNS8&dib_tag=se&keywords=laptop&qid=1756882004&sprefix=lapt%2Caps%2C333&sr=8-82&xpid=RbFd-a7yjl6Ny
13,"Acer [SmartChoice Aspire Lite AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop","₹34,490",/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_22?crid=35FEBR8R2BS66&dib=eyJ2IjoiMSJ9.LhAv1ca6zmP5LGFtl_xILuiVQIySMSGct_JOlFt9k9_UFjcQQ0i_fmNazxHl2InrSkQRLx-bnwFfAnM5fpGEyHEri5J3g2VTZxxJFkRtCpHerMcBeJ_gm6z-mHX2GvhNX-i5r9eikoWOpTNuPyuODcAGDdgg1NXXULUsvDA4fDHRPVxs0tcKJfX0gr6HVn8AVG_eQodgmRBmwj27oM1M2neEadpjtsXDsyEcbGU-PFo.5PqTv7jmAWrcefu0qc1i7MxoKKpcoJlwR7F6skUsqPI&dib_tag=se&keywords=laptop&qid=1756881998&sprefix=lapt%2Caps%2C333&sr=8-22&xpid=RbFd-a7yjl6Ny
14,"DeII 5400 InteI i5 8th Gen, 8GB DDR4 RAM | 256GB SSD - 14"" (35.6cm) FHD| InteI UHD Graphics - HD Camera| Thin & Light (Win10, MS Office) Laptop(Refab) Black","₹24,995",/DeII-5400-InteI-DDR4-256GB/dp/B0FKBF9S4Y/ref=sr_1_62?crid=35FEBR8R2BS66&dib=eyJ2IjoiMSJ9.6-ywc2mX-HyIDn163gzc_Lo_gcMr0G8eZtPapBL0rRN5MRFfCisY754WWp7RSCb6FoG8TxuFtn7HRwo-T7BpdnAe-_V1FjXl8t5I1Hjv-9rVdphR5e1Yv8XOwR7nlqK7eM-PF5DhQ61gvoEU273QZYvI7Gax63WJBuw9t6nk_bLLe5TyjZJXBQ1vp1eZ49hivBN6m_u8nW9nvI26pv9Q9IALeBFD6C4mEldxdOULTg0.vgd0WOwRH5gE1FNu3aIzgEgavHQovcDby0u8S11ogi8&dib_tag=se&keywords=laptop&qid=1756882002&sprefix=lapt%2Caps%2C333&sr=8-62&xpid=RbFd-a7yjl6Ny
15,"HP Victus, 13th Gen Intel Core i5-13420H, 6GB RTX 4050 Gaming Laptop (16GB DDR4, 512GB SSD) 144Hz, IPS, 15.6""/39.6cm, Flicker-Free, Win 11, Office 21, Mica Silver, 2.29kg, Enhanced Cooling, fa1279TX","₹72,490",/sspa/click?ie=UTF8&spc=MToyNjI5NjQ2MDY3OTYzMDAxOjE3NTY4ODIwMDI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDY0MjQzOTM1NDAzMjo6MTo6&url=%2FHP-Victus-i5-13420H-Flicker-Free-Enhanced%2Fdp%2FB0F79G1XW6%2Fref%3Dsxin_23_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.24e1f0fb-6b39-49f5-b34a-4ebef8eaef82%253Aamzn1.sym.24e1f0fb-6b39-49f5-b34a-4ebef8eaef82%26crid%3D35FEBR8R2BS66%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0F79G1XW6%26pd_rd_r%3D21b32708-1bea-4188-9315-655a5828ae11%26pd_rd_w%3D8uu6c%26pd_rd_wg%3DXZjkm%26pf_rd_p%3D24e1f0fb-6b39-49f5-b34a-4ebef8eaef82%26pf_rd_r%3D3B98RGGJ6TZB2VT93FFP%26qid%3D1756882002%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C333%26sr%3D1-50-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26xpid%3DRbFd-a7yjl6Ny%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&sp_cr=ZAZ
16,"ULTIMUS Pro Intel Celeron Dual Core Laptop 4GB RAM, 128GB M.2 Emmc Expandable~512GB Intel HD Graphics 2.0x1 3.0x1 USB HDMI Sd Card Slot ‎LPDDR4 Dual Speaker Dual Microphone Win 11 Home Gray, 1.2 kg","₹11,990",/ULTIMUS-Celeron-Expandable-512GB-Graphics-Microphone/dp/B0D98DS8ZR/ref=sr_1_73?crid=35FEBR8R2BS66&dib=eyJ2IjoiMSJ9.ifqR7Pb_juTd-DikRJuOpsmK2VX06bxGxKO-20fMoa_FAat39pCVa1JeUhEKAgnrlNmmvdWLTHaKCynPaZsipVhPAtUZZrhRGR3Mmey2xvbNWznV6UpH_8QPnGBDpehxGRvKu-48dalFoDt224dNY5jSXaQvB9kpE8ZEqF7wDxNLzS-635mqGIbpHBj8P41-O_P1iYRL5tj0gRv8YrWH0jiixG2KtRUnsv4-b3Dty5w.JlwNgsaSeD8a5yKX8jfvRasJwbHn-EgPFUinWdHeNS8&dib_tag=se&keywords=laptop&qid=1756882004&sprefix=lapt%2Caps%2C333&sr=8-73&xpid=RbFd-a7yjl6Ny
17,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A324-45 with 35.56 cm (14"") HD Display, Pure Silver, 1.3 KG","₹21,490",/Acer-Celeron-Processor-LPDDR4X-A324-45/dp/B0D7PSYS6B/ref=sr_1_26?crid=35FEBR8R2BS66&dib=eyJ2IjoiMSJ9.LhAv1ca6zmP5LGFtl_xILuiVQIySMSGct_JOlFt9k9_UFjcQQ0i_fmNazxHl2InrSkQRLx-bnwFfAnM5fpGEyHEri5J3g2VTZxxJFkRtCpHerMcBeJ_gm6z-mHX2GvhNX-i5r9eikoWOpTNuPyuODcAGDdgg1NXXULUsvDA4fDHRPVxs0tcKJfX0gr6HVn8AVG_eQodgmRBmwj27oM1M2neEadpjtsXDsyEcbGU-PFo.5PqTv7jmAWrcefu0qc1i7MxoKKpcoJlwR7F6skUsqPI&dib_tag=se&keywords=laptop&qid=1756881998&sprefix=lapt%2Caps%2C333&sr=8-26&xpid=RbFd-a7yjl6Ny
18,"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/1TB SSD/Windows 11 Home) AL15-41 39.62 cm (15.6"") Full HD Display Metal Body Steel Gray 1.59 KG","₹36,990",/Acer-Premium-Windows-AL15-41-Display/dp/B0CB7S1RTX/ref=sr_1_43?crid=35FEBR8R2BS66&dib=eyJ2IjoiMSJ9.Tz2wfxdL0EMcY0GgzxMDceM9Arn-TThQm0OXMKVvAHKbt4u99_JHfCBN0tj8PMIIeWs4n7RqezH2j5fYUVbjCT-MDxhAMbKrc6KiG9_vp8YI8SsfFwWkJnQ2HnVMHHz9ZJXb18qxoOxO4a-pe9nu_U6RhE1Xr-N0Ge0w0D2BMnl2e6kQP-BqJJ5iNrdu4sKf0Wjmx8EHaPi2zUgulbgYt0OqZDMxNj4zD1B2ErbBNoQ.J6NSEreu19DRxA6hmLGNrEqevGw-n2oekQoSDi2uwOo&dib_tag=se&keywords=laptop&qid=1756882000&sprefix=lapt%2Caps%2C333&sr=8-43&xpid=RbFd-a7yjl6Ny
19,"Dell 15 Thin & Light Laptop, 13th Generation Intel Core i3-1305U Processor, 8GB DDR4 + 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Windows 11 + MSO'21, 12 Month McAfee, Grey, 1.69kg","₹36,790",/sspa/click?ie=UTF8&spc=MTozMjk3NDY1Mjc5NDgxMjE6MTc1Njg4MTk5NjpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMTY3MzkxMTIyNDMyOjozOjo&url=%2FDell-Inspiron-3530-i3-1305U-Comfortview%2Fdp%2FB0C4ZM63RP%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%253Aamzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%26crid%3D35FEBR8R2BS66%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0C4ZM63RP%26pd_rd_r%3De1f08120-c83a-40e7-a572-d05963d4d79b%26pd_rd_w%3DBCg2P%26pd_rd_wg%3DNukY3%26pf_rd_p%3D739e670d-dfb3-4be0-9815-d8c5c0372e07%26pf_rd_r%3D1R6Y4QRBYPADJ32MP609%26qid%3D1756881996%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C333%26sr%3D1-4-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26xpid%3DRbFd-a7yjl6Ny%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&sp_cr=ZAZ
